complaint,priority
Grades not updated for Computer Science.,High
Revaluation for final paper not done.,High
Teacher is absent for two weeks.,High
Grades not updated for Computer Science.,High
Professor is not available during evening hours.,High
Project guide not assigned for Physics.,High
Unfair evaluation in midterm.,High
Attendance shortage issue in Chemistry class.,High
Internal marks for Chemistry are too low.,High
Syllabus for Mechanical Engineering is incomplete.,High
Lab sessions for English are not conducted.,High
Project guide not assigned for Biology.,High
The internal was not evaluated properly.,High
Lab sessions for Civil Engineering are not conducted.,High
My internal marks are not updated.,High
Unfair grading in the final exam.,High
No professor assigned for Civil Engineering.,High
Teacher is absent for two weeks.,High
Lecture cancelled without notice.,High
Syllabus for English is incomplete.,High
Class timing for Computer Science is not followed.,High
Lecture cancelled without notice.,High
Teacher is absent for two weeks.,High
My midterm marks are not updated.,High
The practical was not evaluated properly.,High
Syllabus for Economics is incomplete.,High
Unfair grading in the final exam.,High
No professor assigned for Mechanical Engineering.,High
Professor is not available during evening hours.,High
The final was not evaluated properly.,High
Assignment deadline for Mathematics is not communicated.,High
Lecture cancelled without notice.,High
Result for final is delayed.,High
Syllabus for Biology is incomplete.,High
Revaluation for sessional paper not done.,High
Syllabus for Computer Science is incomplete.,High
Grades not updated for Electronics.,High
The midterm was not evaluated properly.,High
Result for practical is delayed.,High
Attendance shortage issue in Mathematics class.,High
Unfair evaluation in final.,High
The final was not evaluated properly.,High
Class timing for Mechanical Engineering is not followed.,High
Project guide not assigned for Mathematics.,High
Professor is not available during office hours.,High
Teacher is absent for two weeks.,High
Project guide not assigned for Biology.,High
Lab sessions for Civil Engineering are not conducted.,High
Lab sessions for Electronics are not conducted.,High
The external was not evaluated properly.,High
Syllabus for Chemistry is incomplete.,High
Professor is not available during morning hours.,High
Lecture cancelled without notice.,High
The sessional was not evaluated properly.,High
Class timing for Computer Science is not followed.,High
Lab sessions for Economics are not conducted.,High
The sessional was not evaluated properly.,High
Class timing for Electronics is not followed.,High
Unfair evaluation in midterm.,High
